Category,Sub_Category,Region,Record_Count,Total_Quantity,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Peak_Safety_Stock,Reorder_Point,Total_Predicted,Total_Actual,Avg_Predicted_Sales,Avg_Actual_Sales,Peak_Predicted,Overstock_Risk,Overstock_Pct,Stockout_Risk,Stockout_Pct,Alert_Level,Avg_Discount_Pct,Avg_Profit_Margin,Lead_Time_Days,Service_Level_Pct,Generated_At
Furniture,Furnishings,West,304,1175,14.7224,23.4031,102.1659,153.2489,205.223,31329.34,30072.73,103.06,98.92,874.7,MEDIUM,25.0,MEDIUM,27.6,WARNING,3.29,25.41,7,95,2026-08-06 20:54:17
Furniture,Tables,Central,72,262,73.4952,50.365,219.8677,329.8016,734.3342,37041.59,39154.97,514.47,543.82,1908.21,MEDIUM,23.6,MEDIUM,27.8,WARNING,26.25,-9.09,7,95,2026-08-06 20:54:17
Office Supplies,Appliances,East,126,474,38.0621,48.9759,213.8036,320.7055,480.2385,33570.79,34188.47,266.43,271.34,1609.05,MEDIUM,22.2,MEDIUM,24.6,WARNING,7.3,24.54,7,95,2026-08-06 20:54:17
Office Supplies,Appliances,South,81,293,35.0221,43.1544,188.3901,282.5851,433.5449,19857.54,19525.33,245.15,241.05,1434.64,MEDIUM,22.2,MEDIUM,27.2,WARNING,11.11,21.12,7,95,2026-08-06 20:54:17
Office Supplies,Appliances,West,136,492,29.5818,47.353,206.7189,310.0784,413.7913,28161.85,30236.34,207.07,222.33,1454.93,LOW,18.4,MEDIUM,20.6,WARNING,3.09,27.32,7,95,2026-08-06 20:54:17
Office Supplies,Art,Central,176,678,6.3566,16.8191,73.4236,110.1355,117.9195,7831.27,5765.34,44.5,32.76,550.79,MEDIUM,39.2,MEDIUM,39.8,WARNING,12.27,20.73,7,95,2026-08-06 20:54:17
Office Supplies,Art,East,228,849,5.0695,16.8931,73.7467,110.62,109.233,8090.87,7485.76,35.49,32.83,387.26,MEDIUM,34.2,MEDIUM,34.6,WARNING,6.93,25.38,7,95,2026-08-06 20:54:17
Office Supplies,Art,South,142,547,6.0302,17.76,77.5311,116.2967,119.7427,5994.04,4655.62,42.21,32.79,451.0,MEDIUM,36.6,MEDIUM,38.7,WARNING,10.14,22.74,7,95,2026-08-06 20:54:17
Office Supplies,Art,West,250,926,4.8726,18.0872,78.9594,118.4391,113.0675,8527.02,9212.07,34.11,36.85,743.79,MEDIUM,36.4,MEDIUM,37.2,WARNING,3.12,25.77,7,95,2026-08-06 20:54:17
Office Supplies,Binders,West,471,1868,19.665,69.5254,303.5126,455.2689,441.1674,64835.43,55961.11,137.65,118.81,5647.32,MEDIUM,37.6,MEDIUM,39.9,WARNING,28.17,28.76,7,95,2026-08-06 20:54:17
Office Supplies,Envelopes,Central,59,206,9.177,23.5995,103.0234,154.5352,167.2625,3790.1,4636.87,64.24,78.59,589.72,MEDIUM,25.4,MEDIUM,30.5,WARNING,12.88,38.33,7,95,2026-08-06 20:54:17
Office Supplies,Envelopes,East,74,267,7.302,18.4528,80.5556,120.8334,131.6697,3782.45,4375.87,51.11,59.13,379.95,MEDIUM,31.1,MEDIUM,33.8,WARNING,8.11,41.42,7,95,2026-08-06 20:54:17
Office Supplies,Envelopes,South,54,206,9.6454,20.7123,90.4192,135.6288,157.9367,3645.95,3345.56,67.52,61.95,346.4,MEDIUM,31.5,MEDIUM,31.5,WARNING,7.41,43.8,7,95,2026-08-06 20:54:17
Office Supplies,Envelopes,West,67,227,6.4786,18.8316,82.209,123.3135,127.5592,3038.46,4118.1,45.35,61.46,414.86,MEDIUM,26.9,MEDIUM,29.9,WARNING,4.18,46.35,7,95,2026-08-06 20:54:17
Office Supplies,Fasteners,West,72,263,0.5826,15.5609,67.9307,101.8961,72.0088,293.62,923.22,4.08,12.82,483.51,MEDIUM,37.5,MEDIUM,37.5,WARNING,3.33,29.81,7,95,2026-08-06 20:54:17
Office Supplies,Labels,South,65,216,2.2337,22.0047,96.0613,144.092,111.6975,1016.35,2353.18,15.64,36.2,550.33,MEDIUM,27.7,MEDIUM,27.7,WARNING,10.77,44.23,7,95,2026-08-06 20:54:17
Office Supplies,Paper,Central,321,1225,8.2585,20.3667,88.9107,133.3661,146.7206,18556.96,17491.9,57.81,54.49,608.27,MEDIUM,33.0,MEDIUM,34.9,WARNING,12.9,39.86,7,95,2026-08-06 20:54:17
Office Supplies,Paper,East,378,1400,7.733,18.9883,82.8934,124.3402,137.0247,20461.63,20172.6,54.13,53.37,590.76,MEDIUM,32.5,MEDIUM,34.7,WARNING,6.46,44.69,7,95,2026-08-06 20:54:17
Office Supplies,Paper,South,221,851,9.537,21.2288,92.6743,139.0114,159.4335,14753.8,14150.98,66.76,64.03,663.36,MEDIUM,31.2,MEDIUM,33.9,WARNING,10.23,42.03,7,95,2026-08-06 20:54:17
Office Supplies,Paper,West,450,1702,8.9265,19.6664,85.8533,128.78,148.3388,28118.45,26663.72,62.49,59.25,639.95,MEDIUM,31.3,MEDIUM,33.3,WARNING,3.16,45.45,7,95,2026-08-06 20:54:17
Office Supplies,Storage,Central,210,724,32.4805,42.6283,186.0933,279.1399,413.457,47746.37,45930.11,227.36,218.71,1752.38,MEDIUM,21.9,MEDIUM,24.3,WARNING,12.38,4.29,7,95,2026-08-06 20:54:17
Office Supplies,Storage,East,242,907,38.589,51.4597,224.6469,336.9704,494.7698,65369.73,71612.58,270.12,295.92,2423.53,LOW,19.8,MEDIUM,24.4,WARNING,7.11,11.71,7,95,2026-08-06 20:54:17
Office Supplies,Storage,South,128,488,37.3359,43.4081,189.4977,284.2466,450.8489,33452.96,35768.06,261.35,279.44,1670.55,MEDIUM,22.7,MEDIUM,25.0,WARNING,9.22,6.36,7,95,2026-08-06 20:54:17
Office Supplies,Storage,West,266,1039,37.5711,43.9643,191.9255,287.8883,454.9235,69957.46,70532.85,263.0,265.16,2198.46,MEDIUM,23.3,MEDIUM,25.6,WARNING,3.08,12.26,7,95,2026-08-06 20:54:17
Office Supplies,Supplies,Central,36,122,33.1185,118.2574,516.2513,774.3769,748.0806,8345.86,9467.37,231.83,262.98,4112.09,MEDIUM,30.6,MEDIUM,36.1,WARNING,14.44,-6.99,7,95,2026-08-06 20:54:17
Office Supplies,Supplies,East,56,195,23.7969,60.0124,261.9837,392.9756,428.5624,9328.4,10760.12,166.58,192.14,2071.42,MEDIUM,32.1,MEDIUM,33.9,WARNING,6.79,-10.74,7,95,2026-08-06 20:54:17
Office Supplies,Supplies,South,29,92,36.8144,104.7036,457.0825,685.6237,714.7833,7473.32,8318.93,257.7,286.86,2912.29,MEDIUM,27.6,MEDIUM,27.6,WARNING,10.34,0.02,7,95,2026-08-06 20:54:17
Technology,Accessories,Central,183,716,26.3028,33.7538,147.3519,221.0279,331.4716,33693.89,33956.08,184.12,185.55,1393.47,MEDIUM,20.8,MEDIUM,21.9,WARNING,12.46,21.36,7,95,2026-08-06 20:54:17
Technology,Accessories,East,206,724,29.8881,44.3159,193.4608,290.1911,402.6776,43098.68,45033.37,209.22,218.61,1711.2,LOW,19.9,MEDIUM,22.3,WARNING,8.54,24.86,7,95,2026-08-06 20:54:17
Technology,Accessories,South,128,504,31.1659,41.9764,183.2477,274.8716,401.4088,27924.63,27276.75,218.16,213.1,1472.57,MEDIUM,21.9,MEDIUM,21.9,WARNING,8.59,25.68,7,95,2026-08-06 20:54:17
Technology,Accessories,West,258,1032,34.3344,44.0763,192.4146,288.6219,432.7552,62007.86,61114.12,240.34,236.88,1695.88,MEDIUM,21.3,MEDIUM,24.0,WARNING,3.64,26.97,7,95,2026-08-06 20:54:17
Technology,Copiers,West,25,88,293.2204,372.4342,1625.8578,2438.7867,3678.4007,51313.57,49749.24,2052.54,1989.97,14211.11,MEDIUM,36.0,MEDIUM,36.0,WARNING,14.4,38.85,7,95,2026-08-06 20:54:17
Technology,Machines,Central,21,66,167.7719,180.9083,789.7535,1184.6302,1964.1569,24662.47,26797.38,1174.4,1276.07,5292.12,MEDIUM,28.6,MEDIUM,33.3,WARNING,32.86,-5.55,7,95,2026-08-06 20:54:17
Technology,Machines,South,18,62,312.0362,443.4745,1935.9831,2903.9747,4120.2364,39316.56,53890.96,2184.25,2993.94,12171.84,MEDIUM,33.3,MEDIUM,33.3,WARNING,33.33,-2.67,7,95,2026-08-06 20:54:17
Technology,Machines,West,39,147,164.1376,216.8314,946.5754,1419.8632,2095.5384,44809.55,42444.12,1148.96,1088.31,8107.07,MEDIUM,30.8,MEDIUM,30.8,WARNING,30.26,-1.46,7,95,2026-08-06 20:54:17
Technology,Phones,Central,200,713,49.3163,53.9754,235.6291,353.4436,580.8433,69042.84,72403.28,345.21,362.02,2370.89,MEDIUM,20.0,MEDIUM,23.0,WARNING,12.2,17.02,7,95,2026-08-06 20:54:17
Technology,Phones,East,272,982,55.2289,61.1302,266.8631,400.2946,653.4655,105155.84,100614.98,386.6,369.91,2810.09,MEDIUM,29.0,MEDIUM,30.5,WARNING,16.03,12.24,7,95,2026-08-06 20:54:17
Technology,Phones,South,140,526,55.1158,56.9105,248.4423,372.6635,634.2528,54013.47,58304.44,385.81,416.46,2198.95,MEDIUM,20.0,MEDIUM,25.7,WARNING,10.0,18.47,7,95,2026-08-06 20:54:17
Technology,Phones,West,277,1068,49.5465,50.6173,220.9693,331.454,567.7949,96070.68,98684.35,346.83,356.26,2096.93,MEDIUM,23.8,MEDIUM,27.8,WARNING,20.0,9.23,7,95,2026-08-06 20:54:17
Furniture,Tables,South,51,227,92.0327,59.1252,258.1106,387.1659,902.3395,32855.68,43916.19,644.23,861.1,1942.57,LOW,17.6,LOW,19.6,OK,22.25,-10.53,7,95,2026-08-06 20:54:17
Furniture,Tables,West,116,481,88.5758,58.077,253.5346,380.3018,873.5651,71923.54,84754.56,620.03,730.64,1892.01,LOW,15.5,LOW,18.1,OK,20.0,1.75,7,95,2026-08-06 20:54:17
Technology,Machines,East,37,165,227.2492,291.6351,1273.1302,1909.6953,2863.8748,58857.55,66106.17,1590.74,1786.65,7346.28,LOW,16.2,LOW,18.9,OK,28.38,10.48,7,95,2026-08-06 20:54:17
